Book Title,Genre,Author,Keywords
The Great Gatsby,Fiction,F. Scott Fitzgerald,"American dream, tragedy, 1920s, wealth, society"
1984,Dystopian,George Orwell,"Totalitarianism, surveillance, rebellion, dystopia"
Pride and Prejudice,Romance,Jane Austen,"Love, society, 19th century, marriage, England"
To Kill a Mockingbird,Fiction,Harper Lee,"Racism, justice, moral growth, South, court case"
The Catcher in the Rye,Fiction,J.D. Salinger,"Teenage rebellion, isolation, identity, mental health"
Harry Potter and the Sorcerer's Stone,Fantasy,J.K. Rowling,"Magic, school, friendship, good vs evil"
Moby Dick,Adventure,Herman Melville,"Whaling, revenge, obsession, sea adventure"
The Hobbit,Fantasy,J.R.R. Tolkien,"Adventure, heroism, Middle-Earth, dwarves, dragons"
Crime and Punishment,Classic,Fyodor Dostoevsky,"Crime, morality, guilt, redemption, psychology"
War and Peace,Historical,Leo Tolstoy,"War, Russian society, Napoleon invasion, love, family"
The Alchemist,Adventure,Paulo Coelho,"Personal growth, destiny, spirituality, self-discovery"
Fahrenheit 451,Dystopian,Ray Bradbury,"Censorship, book burning, knowledge, dystopia"
Little Women,Drama,Louisa May Alcott,"Family, sisterhood, love, personal growth, 19th century"
The Shining,Horror,Stephen King,"Isolation, supernatural, madness, haunted hotel"
The Road,Post-apocalyptic,Cormac McCarthy,"Survival, father-son bond, desolation, journey"
Jane Eyre,Classic,Charlotte Bronte,"Love, independence, mystery, social class, Gothic"
Frankenstein,Horror,Mary Shelley,"Science, creation, identity, morality, tragedy"
The Da Vinci Code,Thriller,Dan Brown,"Mystery, conspiracy, symbols, religion, secret societies"
The Kite Runner,Drama,Khaled Hosseini,"Friendship, redemption, Afghanistan, betrayal"
Dracula,Gothic,Bram Stoker,"Vampires, horror, Gothic, good vs evil"
The Hunger Games,Dystopian,Suzanne Collins,"Survival, rebellion, oppression, competition"
Gone Girl,Thriller,Gillian Flynn,"Mystery, marriage, psychological manipulation"
The Handmaid’s Tale,Dystopian,Margaret Atwood,"Oppression, feminism, survival, dystopia, authoritarianism"
Brave New World,Dystopian,Aldous Huxley,"Control, happiness, conformity, dystopia, science"
The Catcher in the Rye,Fiction,J.D. Salinger,"Adolescence, alienation, identity, rebellion"
Moby Dick,Adventure,Herman Melville,"Whaling, obsession, revenge, sea adventure"
The Hobbit,Fantasy,J.R.R. Tolkien,"Quest, dragons, Middle-earth, courage"
Brave New World,Dystopian,Aldous Huxley,"Totalitarianism, future, control, technology, society"
War and Peace,Historical,Leo Tolstoy,"Russian society, war, love, aristocracy, Napoleon"
